2026-02-09 05:21:45,489 | WORKER:203550:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 12
2026-02-09 05:21:46,244 | WORKER:281776:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 0
2026-02-09 05:21:47,937 | WORKER:203553:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 24
2026-02-09 05:21:48,547 | WORKER:203547:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 42
2026-02-09 05:22:45,398 | WORKER:203546:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 45
2026-02-09 05:22:45,490 | WORKER:203550:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 12
2026-02-09 05:22:46,245 | WORKER:281776:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 0
2026-02-09 05:22:47,938 | WORKER:203553:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 24
2026-02-09 05:22:48,548 | WORKER:203547:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 42
2026-02-09 05:23:45,399 | WORKER:203546:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 45
2026-02-09 05:23:45,491 | WORKER:203550:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 12
2026-02-09 05:23:46,246 | WORKER:281776:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 0
2026-02-09 05:23:47,939 | WORKER:203553:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 24
2026-02-09 05:23:48,550 | WORKER:203547:BinanceWorker | INFO | 📊 Stats: 0 msgs in 60.0s (0.0 msg/s) | Subs: 42
